Gericht,Aktenzeichen,Datum,Art,Rechtsgrundlage,Text,Schlagwort,Urteil,pagination,pagination-href
Verwaltungsgerichtshof Bayern,23 B 95.1954,17.02.1998,Urteil,Sonstige,"Außerhalb eines Verwaltungsverfahrens kann ein Rechtsanspruch auf Akteneinsicht in Betracht kommen, wenn der Antragsteller ein berechtigtes Interesse geltend macht (Ermessensentscheidung der Behörde). Im vorliegenden Fall stellt der Verwaltungsgerichtshof jedoch keine Ermessensfehler im Hinblick auf die von der Behörde abgelehnte Akteneinsicht fest. Der Antragsteller interessierte sich vor dem Hintergrund einer Beitragserhebung für Unterlagen über die Erweiterung und Verbesserung einer Entwässerungsanlage.",,http://www.lda.brandenburg.de/media_fast/5955/VGH_BY_23_B_95_1954.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Europäischer Gerichtshof für Menschenrechte,14967/89,19.02.1998,Urteil,Europäische Menschenrechtskonvention,"In dem Fall ""Guerra und andere vs. Italien"" stellt der Europäische Gerichtshof für Menschenrechte fest, dass Artikel 10 der Menschenrechtskonvention (freie Meinungsäußerung und Information) es einer Regierung zwar verbietet, den Empfang von Informationen zu verhindern, sie jedoch nicht verpflichtet ist, selbst Informationen einzuholen und zu verbreiten. Geklagt hatten Personen, die geltend machten, über die Auswirkungen einer örtlichen Chemiefabrik nicht ausreichend informiert worden zu sein. Allerdings entschied der Gerichtshof, dass eine Verletzung des Artikels 8 der Menschenrechtskonvention (Achtung des Privat- und Familienlebens) vorlag. Die Entscheidung liegt ausschließlich in englischer und französischer Sprache vor.",Allgemein zugängliche Quelle,http://www.lda.brandenburg.de/media_fast/5955/EGMR_14967_89.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Gericht der Europäischen Union,T-83/96,19.03.1998,Urteil,Verhaltenskodex für den Zugang zu Rats- und Kommissionsdokumenten,"Das Gericht weist eine Klage gegen die Verweigerung der Herausgabe von Antworten der Kommission auf Fragen, die ihr von nationalen Gerichten im Hinblick auf die Entscheidung eines bei diesen anhängigen Rechtsstreits gestellt werden, ab. Dies begründet es mit dem Schutz des öffentlichen Interesses. Solange das gerichtliche Verfahren anhängig ist, ist allein das betreffende nationale Gericht aufgrund des nationalen Verfahrensrechts zur Entscheidung über den Zugang zu diesen Informationen befugt.","Anwendungsbereich/Zuständigkeit, Konkurrierende Rechtsvorschriften, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/EuG_T_83_96.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Verwaltungsgericht Schleswig-Holstein,3 A 180/96,07.04.1998,Urteil,Umweltinformationsgesetz (Bund),"Das Gericht entscheidet, dass eine Liste über die Prüfgebiete hinsichtlich der FFH- und Vogelschutzrichtlinie in Schleswig-Holstein auf der Grundlage des Umweltinformationsgesetzes offenzulegen ist. Umweltinformationen über die FFH-Schutzwürdigkeit einer bestimmten Fläche berühren jedoch die Vertraulichkeit der Beratungen von Behörden und sind vom Informationsanspruch ausgenommen.","Begriffsbestimmung, Beratungsgeheimnis (behördlicher Entscheidungsprozess)",http://www.lda.brandenburg.de/media_fast/5955/VG_Schleswig_Holstein_3_A_180_96.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Verwaltungsgerichtshof Baden-Württemberg,10 S 58/97,10.06.1998,Urteil,Umweltinformationsgesetz (Bund),"Vom Begriff der ""Umweltinformation"" sind nur solche Angaben umfasst, die mittelbar auf den Schutz der im Gesetz genannten Umweltbereiche abzielen. Informationen über abgeschlossene Straf- und Ordnungswidrigkeitenverfahren wegen Verstößen gegen das Umweltrecht gehören nicht dazu, weil sie nur mittelbar zum Umweltschutz beitragen, ihr unmittelbares Ziel aber in der Ahndung von Rechtsverstößen liegt. Diese Informationen sind somit vom Einsichtsanspruch ausgenommen. Während der Dauer eines Gerichts- oder strafrechtlichen Ermittlungsverfahrens ist der Zugangsanspruch nur hinsichtlich jener Daten ausgeschlossen, die der Behörde auf Grund dieser Verfahren zugehen. Das Urteil des Verwaltungsgerichts wird teilweise geändert.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Schutz besonderer Verfahren, Strafverfolgung",http://www.lda.brandenburg.de/media_fast/5955/VGH_BW_10_S_58_97.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Europäischer Gerichtshof,C-321/96,17.06.1998,Urteil,Richtlinie 90/313/EWG (Umweltinformationsrichtlinie),"Auch eine Stellungnahme der unteren Verwaltungsbehörden stellt eine ""Information über die Umwelt"" im Sinne der Richtlinie 90/313 dar. Nach dem Willen des Gemeinschaftsgesetzgebers ist dieser Begriff nach dessen Wortlaut weit auszulegen. So stellen verwaltungstechnische Maßnahmen im Sinne der Richtlinie nur eine allgemeine Erläuterung der Begriffe ""Maßnahmen"" und ""Tätigkeiten"" dar. Ein Vorverfahren im Sinne der Ausnahmevorschrift ist ein Verfahren mit gerichtlichem oder quasigerichtlichem Charakter, das einem gerichtlichen oder einem Ermittlungsverfahren zeitlich unmittelbar vorausgeht.","Anwendungsbereich/Zuständigkeit, Bearbeitungsfrist, Begriffsbestimmung",http://www.lda.brandenburg.de/media_fast/5955/EuGH_C_321_96.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Oberverwaltungsgericht Schleswig-Holstein,4 L 139/98,15.09.1998,Urteil,Umweltinformationsgesetz (Bund),Der Ausnahmetatbetand des Umweltinformationsgesetzes zum Schutz der Vertraulichkeit behördlicher Beratungen ist eng auszulegen; die für die Beratung notwendigen Sachinformationen (hier eine Vorauswahlliste naturschutzrechtlicher Prüfgebiete) fallen nicht darunter. Das Urteil enthält ausführliche Erläuterungen zur Eingrenzung des Beratungsbegriffs; das Urteil Vorinstanz wird geändert.,"Begriffsbestimmung, Beratungsgeheimnis (behördlicher Entscheidungsprozess)",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_4_L_139_98.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Verwaltungsgericht Potsdam,2 L 873/98,16.11.1998,Beschluss,Akteneinsichts- und Informationszugangsgesetz (Brandenburg),"Die Frage, ob die Klägerin - eine Gemeinde - nach dem Akteneinsichts- und Informationszugangsgesetz überhaupt antragsberechtigt ist, wird vom Gericht nicht entschieden, da der begehrten Einsichtnahme in die Akten eines kommunalaufsichtlichen Genehmigungsverfahrens der Ausnahmetatbestand des Akteneinsichts- und Informationszugangsgesetzes zum Schutz von Akten, die der Aufsicht über eine andere Stelle dienen, entgegensteht. Der Antragstellerin steht vor dem Hintergrund der Geltendmachung von Schadensersatzforderungen aber ein Einsichtsanspruch aus allgemeinen rechtsstaatlichen Gründen zu. Der Landkreis wird im Wege einer Eilanordnung zur Offenlegung der Akten verpflichtet.","Antragsberechtigung, Aufsichtsaufgaben, Konkurrierende Rechtsvorschriften",http://www.lda.brandenburg.de/media_fast/5955/VG_Potsdam_2_L_873_98.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Gericht der Europäischen Union,T-14/98,04.03.1999,Urteil,Beschluss 93/731/EG über den Zugang zu Ratsdokumenten,"Die Prüfung des Zweitantrags muss so beschaffen sein, dass die Entscheidung über die Ablehnung auf der Grundlage einer wirklichen Prüfung der jeweiligen Umstände des Einzelfalls erfolgt. Aufgrund der Bedeutung des Rechts der Öffentlichkeit auf Zugang zu den im Besitz der Behörden befindlichen Dokumenten und dem Grundsatz der Verhältnismäßigkeit hat der Europäische Rat in besonderen Fällen zu prüfen, ob mit einem angemessenen Verwaltungsaufwand Teile des Dokuments gekürzt bzw. geschwärzt werden können, um einen teilweisen Zugang zu den nicht von den Ausnahmen erfassten Informationen zu gewährleisten. Ebenso erfordert es der Grundsatz der Verhältnismäßigkeit, die Ausnahmevorschriften in dem Ratsbeschluss eng auszulegen.","Ablehnungsbegründung, Aussonderungen",http://www.lda.brandenburg.de/media_fast/5955/EuG_T_14_98.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Bundesverwaltungsgericht,7 C 21.98,25.03.1999,Urteil,Umweltinformationsgesetz (Bund),"Entgegen der Vorinstanz entscheidet das Bundesverwaltungsgericht, dass Informationen zur staatlichen finanziellen Förderung eines umweltverbessernden Produktionsverfahrens unter den Anwendungsbereich des Umweltinformationsgesetzes fallen. Der Umweltbegriff des Gesetzes schließt jede Tätigkeit einer Behörde ein, die dem Schutz der Umwelt dient. Dies ist auch bei den in Rede stehenden Subventionen der Fall, die zur Verbesserung des Zustands der Umwelt beitragen sollten. Auf eine Unterscheidung zwischen der Mittelbarkeit und Unmittelbarkeit einer Maßnahme kommt es nicht an. Der Informationsanspruch steht auch dem Ortsverband einer politischen Partei zu.","Antragsberechtigung, Anwendungsbereich/Zuständigkeit, Begriffsbestimmung",http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_C_21_98.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Europäischer Gerichtshof,C-217/97,09.09.1999,Urteil,Richtlinie 90/313/EWG (Umweltinformationsrichtlinie),"Der in der Richtlinie 90/313 gefasste Ausnahmetatbestand für Sachen, die Gegenstand eines Vorverfahrens sind, erfasst nur diejenigen Verfahren, die einem gerichtlichen Verfahren unmittelbar vorausgehen und entweder dazu geeignet sind,  Beweise zu schaffen oder Ermittlungen durchzuführen. Zur Umsetzung einer Richtlinie ist die förmliche und wörtliche Übernahme in eine besondere Vorschrift des nationalen Rechts nicht zwingend, vielmehr kann, sofern die Rechtslage hinreichend bestimmt und klar ist, auch der allgemeine rechtliche Kontext des nationalen Rechts ausreichend sein. Allerdings ist die bloße Erwähnung der auszugsweisen Übermittlung in einem Gebührentatbestand zum Informationsgesetz nicht ausreichend, um die Verpflichtung der Richtlinie zur auszugsweisen Übermittlung von Informationen umzusetzen. Die Erhebung einer Gebühr für den Fall der Ablehnung eines Informationsantrags kann nicht als angemessen erachtet werden.","Anwendungsbereich/Zuständigkeit, Aussonderungen, Entwürfe oder Vorarbeiten, Kosten",http://www.lda.brandenburg.de/media_fast/5955/EuGH_C_217_97.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Bundesverwaltungsgericht,7 C 32.98,28.10.1999,Urteil,Umweltinformationsgesetz (Bund),"Während eines Gerichts- oder strafrechtlichen Ermittlungsverfahrens ist der Informationszugang zu allen Daten ausgeschlossen, die Gegenstand des anhängigen Verfahrens. Auf die Frage, ob die Daten der Umweltbehörde aufgrund des Verfahrens zugegangen sind oder dort bereits vor Beginn des Verfahrens vorhanden waren, kommt es nicht an. Der ungestörte Ablauf des Verfahrens soll dadurch gesichert werden. Das Bundesverwaltungsgericht hebt damit die gegenteilige Entscheidung der Vorinstanz auf, die eine Sperrwirkung des entsprechenden Ausschusstatbestands des Umweltinformationsgesetzes auf solche Angaben beschränkt hat, welche der Behörde aufgrund des Verfahrens zugehen. Hintergrund waren Verfahren wegen unzulässiger Abwassereinleitungen eines chemischen Werks.","Schutz besonderer Verfahren, Strafverfolgung",http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_C_32_98.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Europäischer Gerichtshof,C-174/98 P und C-189/98 P,11.01.2000,Urteil,"Beschluss 94/90/EGKS, EG, Euratom der Kommission über den Zugang der Öffentlichkeit zu den der Kommission vorliegenden Dokumenten","Soweit es sich bei Dokumenten, die die Kommission den einzelstaatlichen Gerichten übermittelt, um bereits vorhandene Schriftstücke oder um Verweise auf vorhandene Informationen handelt oder soweit die Kommission nur eine allgemeine, vom einzelnen Verfahren unabhängige Stellungnahme abgibt, muss die Kommission im Einzelfall prüfen, ob die Ausnahmetatbestände des Beschlusses 94/90  erfüllt sind. Wird sie wie ein Gutachter beratend für das nationale Gericht tätig, darf die Kommission die Informationen hingegen nur herausgeben, wenn dies nicht gegen das nationale Recht verstößt. Im Zweifelsfall hat sie das nationale Gericht zu konsultieren. Der Gerichtshof hebt damit das Urteil der Vorinstanz auf, in dem die pauschale Ablehnung der Herausgabe sämtlicher in Rede stehender Dokumente noch bestätigt wurde.","Anwendungsbereich/Zuständigkeit, Konkurrierende Rechtsvorschriften, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/EuGH_C_174_98_P.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Verwaltungsgericht Berlin,2 A 18.99,22.05.2000,Beschluss,Sonstige,"Das Verwaltungsgericht lehnt einen Antrag auf Prozesskostenhilfe ab und verneint einen Anspruch auf Akteneinsicht im Petitionsverfahren des Abgeordnetenhauses, da das Petitionsgesetz einen solchen nicht enthält.",Konkurrierende Rechtsvorschriften,http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_A_18_99.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
Oberverwaltungsgericht Berlin,2 M 15.00,18.10.2000,Beschluss,"Informationsfreiheitsgesetz (Berlin), Sonstige","Das Oberverwaltungsgericht lehnt die Nichtzulassungsbeschwerde gegen die Entscheidung des Verwaltungsgerichts Berlin hinsichtlich der Gewährung von Prozesskostenhilfe ab. Neben dem Petitionsgesetz kommt auch das Berliner Informationsfreiheitsgesetz nicht als Anspruchsgrundlage für die Einsicht im Petitionsverfahren des Abgeordnetenhauses in Frage. Der Anwendungsbereich des Informationsfreiheitsgesetzes beschränkt sich auf Stellen, soweit sie Verwaltungsaufgaben erledigen; dies ist beim Petitionsausschuss des Abgeordnetenhauses nicht der Fall.","Anwendungsbereich/Zuständigkeit, Konkurrierende Rechtsvorschriften",http://www.lda.brandenburg.de/media_fast/5955/OVG_BE_2_M_15_00.pdf,34,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=660
